clothes_class,clothing_path,R_median,G_median,B_median
skirt,clothing-dataset-small/skirt/fdbcfdcd-5deb-4a20-9aef-b708831ef774.jpg,37,30,37
skirt,clothing-dataset-small/skirt/bd289469-607c-45df-bad3-ed1057e277bf.jpg,95,47,95
skirt,clothing-dataset-small/skirt/6b6416d0-7fae-4858-ba58-f0420302a1b2.jpg,120,127,120
skirt,clothing-dataset-small/skirt/ec5f9167-6824-43cf-9f91-15c99a9318c4.jpg,32,31,32
skirt,clothing-dataset-small/skirt/a6a301fe-74f4-4a22-9847-a6f6ce98aa4b.jpg,61,63,61
skirt,clothing-dataset-small/skirt/26921ddb-5f3e-4878-a156-3318f4d831b0.jpg,205,179,205
skirt,clothing-dataset-small/skirt/53c395a3-94bf-4ad9-be75-3bb3924c2d76.jpg,62,55,62
skirt,clothing-dataset-small/skirt/58d7105d-ec37-4cda-8bf8-7dd2c7b1bf6e.jpg,22,21,22
skirt,clothing-dataset-small/skirt/0da586b0-bbfb-44fd-a629-12aee2b1d430.jpg,90,110,90
skirt,clothing-dataset-small/skirt/4d4f6900-da14-4e6c-9236-e3a98261fdc2.jpg,86,131,86
skirt,clothing-dataset-small/skirt/f443ff4d-4d7f-47d9-9288-61f2594343d7.jpg,82,93,82
skirt,clothing-dataset-small/skirt/d44cfac9-3fda-47ba-8eb1-8b130f60b08c.jpg,42,46,42
skirt,clothing-dataset-small/skirt/6d210194-60de-49c5-a215-05201cfa1a64.jpg,160,148,160
skirt,clothing-dataset-small/skirt/ce118595-1373-463c-9be5-0b7d62ce1f0d.jpg,92,80,92
skirt,clothing-dataset-small/skirt/abc109d6-6bb8-4772-8258-6dd92d9d86c1.jpg,87,62,87
skirt,clothing-dataset-small/skirt/a122ba8d-6ebe-42f8-8f72-433aa1a6740a.jpg,105,30,105
skirt,clothing-dataset-small/skirt/2a79969e-c45d-432f-a62b-90970e4d909f.jpg,90,155,90
skirt,clothing-dataset-small/skirt/29a50158-569c-4597-ab58-184fa0256c51.jpg,44,45,44
skirt,clothing-dataset-small/skirt/0903f4c9-a877-4832-bb9e-2a4f4b8f7f67.jpg,159,155,159
skirt,clothing-dataset-small/skirt/8a34360e-9feb-4571-8e16-01d90f6576c7.jpg,64,66,64
skirt,clothing-dataset-small/skirt/672b0d76-2277-4edf-8903-51cd6646b139.jpg,159,170,159
skirt,clothing-dataset-small/skirt/8361e496-70e5-4499-afce-d01848b1d5e8.jpg,81,95,81
skirt,clothing-dataset-small/skirt/a0734f9e-9f67-4d45-a00b-26e65700d157.jpg,95,166,95
skirt,clothing-dataset-small/skirt/22d78476-595a-412d-861e-880264696556.jpg,90,57,90
skirt,clothing-dataset-small/skirt/085469ab-cdb6-42e6-a3cf-f370b6b6ddd6.jpg,25,31,25
skirt,clothing-dataset-small/skirt/2503103d-48e1-4be1-b90e-c2e80b5f1eed.jpg,41,41,41
skirt,clothing-dataset-small/skirt/c1df0487-20c3-4acc-a0d8-cfbf14942e2a.jpg,36,31,36
skirt,clothing-dataset-small/skirt/af5c0e7c-d950-4e6f-88ac-642a41a27b75.jpg,168,133,168
skirt,clothing-dataset-small/skirt/574a2370-af89-4c9a-bbb9-9acfd31489f3.jpg,34,44,34
skirt,clothing-dataset-small/skirt/31fd2f8b-620c-405d-b9f9-5e676dbace96.jpg,115,89,115
skirt,clothing-dataset-small/skirt/def00273-79ed-414b-b7d3-d742001a2d15.jpg,52,57,52
skirt,clothing-dataset-small/skirt/ccb57961-f839-44fc-be22-8b8a5944f8b3.jpg,193,192,193
skirt,clothing-dataset-small/skirt/0ab26941-211e-44d7-a62a-20207fa7a3e0.jpg,154,156,154
skirt,clothing-dataset-small/skirt/86d25b2c-d388-49f6-9616-d2ad838c7148.jpg,40,37,40
skirt,clothing-dataset-small/skirt/5e2b335d-2f5e-4356-9aba-a735af742b6a.jpg,178,115,178
skirt,clothing-dataset-small/skirt/1d08ddfe-dfd4-4bf9-81a7-9cc8dfa2833f.jpg,126,142,126
skirt,clothing-dataset-small/skirt/db36b9f3-57d5-4840-8d67-89c2f8a03251.jpg,183,185,183
skirt,clothing-dataset-small/skirt/8ede80c5-5604-4d69-9c1a-4aa7711a02ec.jpg,24,103,24
skirt,clothing-dataset-small/skirt/36e2b110-6be7-4c46-a865-34ca99808c11.jpg,148,128,148
skirt,clothing-dataset-small/skirt/2f8687c7-bdbf-449f-8528-639040681663.jpg,147,132,147
skirt,clothing-dataset-small/skirt/25450d12-43a6-48c1-b5c0-fd613ad61ee0.jpg,138,133,138
skirt,clothing-dataset-small/skirt/97297d04-884f-451b-b75a-717ce3d1442a.jpg,54,50,54
skirt,clothing-dataset-small/skirt/284149a9-e71e-4955-8228-7511fa592bc1.jpg,141,127,141
skirt,clothing-dataset-small/skirt/16dae877-412a-489e-8935-4bd08db2fa23.jpg,128,122,128
skirt,clothing-dataset-small/skirt/cb3838a8-f6e4-4845-8140-51ff740a75cb.jpg,75,55,75
skirt,clothing-dataset-small/skirt/41e11790-a772-47b1-b251-15c3464038b7.jpg,124,157,124
skirt,clothing-dataset-small/skirt/bb437c07-06e4-4b16-b3aa-8382dd35de0a.jpg,38,42,38
skirt,clothing-dataset-small/skirt/f309b378-084e-4709-9519-7087175395ca.jpg,38,36,38
skirt,clothing-dataset-small/skirt/9b96c318-a9bf-446f-873e-6388906cce86.jpg,132,119,132
skirt,clothing-dataset-small/skirt/39dc8452-9d13-4941-a1e2-fc05df87ee4c.jpg,123,75,123
